birthYear,birthDate,deathYear,deathCause_label
1504-01-01T00:00:00+02:00,1504-01-01T00:00:00+02:00,1553-01-01T00:00:00+02:00,Decapitation
1509-01-01T00:00:00+02:00,1509-01-01,1573-01-01T00:00:00+02:00,Decapitation
1517-01-01T00:00:00+02:00,1517-01-01T00:00:00+02:00,1579-01-01T00:00:00+02:00,Hanging
1535-01-01T00:00:00+02:00,1535-01-01T00:00:00+02:00,{1553-01-01T00:00:00+02:00|1554-01-01T00:00:00+02:00},Decapitation
{1550-01-01T00:00:00+02:00|1555-01-01T00:00:00+02:00},1550-01-01T00:00:00+02:00,1601-01-01T00:00:00+02:00,Decapitation
1561-01-01T00:00:00+02:00,1561-09-01,1615-01-01T00:00:00+02:00,Hanging
1576-01-01T00:00:00+02:00,1576-01-05,1615-01-01T00:00:00+02:00,Hanging
